candidate_id,date,location,summary,status,incident_id,reason,next_step
SEP22-032,2022-09-11,Beit Furik,Settlers reportedly smashed house/car windows; residents later exposed to tear gas by forces,Pending,,NAD monthly candidate,Separate settler damage from force conduct and corroborate
SEP22-033,2022-09-11,Beita,Settler stone attack reportedly injured a Palestinian,Pending,,NAD monthly candidate,Resolve victim and corroboration
SEP22-034,2022-09-13,Etzion area,Settler reportedly pepper-sprayed a Palestinian who was hospitalized,Pending,,NAD monthly candidate,Resolve identity/location and independent source
SEP22-035,2022-09-14,Al-Taybeh junction,Settlers reportedly stoned Palestinian vehicles,Pending,,NAD monthly candidate,Resolve damage/injuries and corroboration
SEP22-036,2022-09-17,Burqa,Settlers reportedly stoned and damaged Majed Awais's vehicle,Pending,,NAD monthly candidate,Find independent source
SEP22-037,2022-09-17,Qaryut,Settlers reportedly cut olive branches,Pending,,NAD monthly candidate,Resolve scale and independent source
SEP22-038,2022-09-17,Ain al-Qassis,Armed settler reportedly forced Alaa Omar Issa from vehicle at gunpoint and detained him,Pending,,NAD monthly candidate,Find independent corroboration; strong threat candidate
SEP22-039,2022-09-17,"Tel Rumeida, Hebron",Settlers reportedly attacked Palestinians while soldiers watched,Pending,,Ynet/B'Tselem roundup candidate,Find original B'Tselem/incident-level source
SEP22-040,2022-09-18,Yitzhar/Burin area,Settlers reportedly stole Palestinian olive harvest,Pending,,NAD monthly candidate,Assess property-violence threshold and corroboration
SEP22-041,2022-09-18,Kiryat Arba / Hebron,Settlers reportedly attacked Jaber/Isaifan/Dana homes and damaged four vehicles,Pending,,NAD monthly candidate,Find independent source and exact event detail
SEP22-042,2022-09-19,Deir Sharaf,Settler stone attack reportedly injured Muhammad Kamel Abdel Khaleq,Pending,,NAD monthly candidate,Find independent corroboration
SEP22-043,2022-09-19,Kafr Qaddum,Settlers reportedly set olive trees on fire,Pending,,NAD monthly candidate,Find independent source and exact damage
SEP22-044,2022-09-19,Eastern Kafr Qaddum,Settlers reportedly razed land and assaulted Riad Shteiwi,Pending,,NAD monthly candidate,Resolve injury/damage and independent source
SEP22-045,2022-09-19,Einaf checkpoint,Settler stone attack reportedly caused head injury/hospitalization,Pending,,NAD monthly candidate,Resolve victim identity and independent source
SEP22-046,2022-09-19/20,Huwwara,Settlers reportedly assaulted Maher Miladi in a later/night incident,Pending,,IMEMC exact video candidate; possible overlap with ILPV-2022-0027,Resolve timeline/dedup before insertion
SEP22-047,2022-09-20,Homesh road / Bazariya area,"Settlers reportedly stoned vehicles, damaging a concrete truck and another vehicle",Pending,,NAD monthly candidate,"Resolve exact location(s), timing and corroboration"
SEP22-048,2022-09-20,"Wadi al-Joz, East Jerusalem",Settlers reportedly attacked Palestinian homes,Pending,,NAD monthly candidate,Resolve exact conduct/damage and independent source
SEP22-049,2022-09-20,Jerusalem Old City,Settlers reportedly pepper-sprayed Palestinian merchants,Pending,,NAD monthly candidate,Resolve victims/injuries and independent source
SEP22-050,2022-09-20,Wadi al-Siq,Right-wing activists reportedly disrupted a diplomatic tour and one waved a pistol,Pending,,Ynet/B'Tselem roundup candidate,Find exact 2022 original source; do not confuse with 2023 event
SEP22-051,2022-09-20,Hamdat area,Settlers reportedly attacked a shepherd tent,Pending,,Ynet/B'Tselem roundup candidate,Find original incident-level source
SEP22-052,2022-09-21,Beit El road,Settlers reportedly stoned Palestinian vehicles causing damage,Pending,,NAD monthly candidate,Resolve exact damage/victim and corroboration
SEP22-053,2022-09-21,Jabal al-Habazi north of Ni'lin,Settlers reportedly opened fire toward Palestinian shepherds,Pending,,NAD monthly candidate,Find independent source; assess threat details
SEP22-054,2022-09-22,Susiya,"Settlers reportedly attacked a family grazing livestock, injuring a 7-year-old and spraying father",Pending,,Ynet/B'Tselem roundup candidate,Find original B'Tselem/incident-level source
SEP22-055,2022-09-24,Beit Iksa,Settlers reportedly smashed Palestinian vehicle windows,Pending,,NAD monthly candidate,Find independent source
SEP22-056,2022-09-25,Al-Sawiya,Eli settlers reportedly destroyed water lines/spring causing water disruption,Pending,,NAD monthly candidate,Resolve exact damage and independent source
SEP22-057,2022-09-25,Sebastia,Shavei Shomron settlers reportedly fired toward Palestinian homes,Pending,,NAD monthly candidate,Find independent source and threat/damage details
SEP22-058,2022-09-25,Madama,Settlers reportedly stoned Palestinian vehicles,Pending,,NAD monthly candidate,Resolve damage/injuries and dedupe Sep28
SEP22-059,2022-09-26,Beit El road,Settlers reportedly stoned Palestinian vehicles,Pending,,NAD monthly candidate,Resolve damage/injury and corroboration
SEP22-060,2022-09-27,Qusra-Jalud road,Settlers reportedly stoned Palestinian vehicles,Pending,,NAD monthly candidate,Resolve damage/injuries and corroboration
SEP22-061,2022-09-28,Yitzhar bypass,Settlers reportedly stoned Palestinian vehicles,Pending,,NAD monthly candidate,Resolve damage/injuries and distinctness from nearby attacks
SEP22-062,2022-09-28,Bazariya junction,Settlers reportedly stoned Palestinian vehicles,Pending,,NAD monthly candidate,Resolve damage/injury and independent source
SEP22-063,2022-09-29,Burqa,Settlers reportedly stoned and damaged Muayyad Aref Salah's vehicle,Pending,,NAD monthly candidate,Find independent source
SEP22-064,2022-09-29,Al-Auja area,Settler vehicle reportedly ran over a Palestinian sheep herd,Pending,,NAD monthly candidate,Establish intent; do not infer violence from settler identity alone
SEP22-065,2022-09-30,Madama agricultural land,Settlers reportedly set Palestinian agricultural land on fire,Pending,,NAD monthly candidate,Find independent source and exact damage
SEP22-066,2022-09-30,Brukhin / Salfit area,Settlers reportedly cut branches from about ten olive trees,Pending,,NAD monthly candidate,Find independent source and exact ownership
SEP22-067,2022-09-03,Rishon Lezion,Two suspects assaulted Crime Minister anti-Netanyahu protesters,Unresolved,,Assault and arrests documented; available reports do not independently establish right-wing affiliation,Seek explicit perpetrator political attribution before inclusion
SEP22-068,2022-09-22,Kifl Haris,Settlers entered village/shrine area for ritual visit,Rejected,,No violent conduct against a target established in current evidence,Outside current violence threshold
SEP22-069,2022-09-10,Iskaka,Settlers installed swings/structures on Palestinian land,Rejected,,Land encroachment documented but no completed violent conduct or explicit threat established,Outside current violence threshold unless stronger conduct emerges
SEP22-070,2022-09-09,Al-Khas / al-Nu'man,Settlers erected a tent/outpost on Palestinian land,Rejected,,Encroachment alone does not meet current violence threshold,Outside current violence threshold
SEP22-071,2022-09-15,Northeast of Sinjil,"About 15 settlers attacked a group of 10 Palestinian men, injuring three",Accepted,ILPV-2022-0034,UN Secretary-General report provides exact date/location/group sizes/injuries; partially verified,Seek independent incident-level corroboration/media
