candidate_id,date,location,summary,target_priority,source_lanes,status,linked_incident_id,notes
OCT22-040,2022-10-22,Tzofim area,"Settlers severely beat Mu'tasim Qawariq",Palestinian,"NAD",Accepted,ILPV-2022-0129,"Partially verified: named victim/date/location; no independent exact source recovered"
OCT22-041,2022-10-23,Huwara,"Two female students pepper-sprayed en route to university; homes also attacked same day",Palestinian,"WAFA; NAD",Accepted,ILPV-2022-0110,"WAFA names the sisters through their father and reports treatment; NAD independently records the exact named attack"
OCT22-042,2022-10-25,Tel Rumeidah/Hebron,"Settlers harvest about 50 Palestinian olive trees and steal crop",Palestinian,"B'Tselem; OCHA",Accepted,ILPV-2022-0111,"B'Tselem incident-level field documentation establishes the exact crop theft; OCHA corroborates the broader harvest-period theft pattern"
OCT22-043,2022-10-26,Yasuf,"Settlers disrupt olive harvest and steal produce/equipment",Palestinian,"NAD; OCHA; POICA",Accepted,ILPV-2022-0130,"Verified: exact NAD record plus OCHA/POICA harvest-period corroboration"
OCT22-044,2022-10-27,Kafr Laqif,"Settler stone attack damages Anas Amer's vehicle",Palestinian,"NAD; PCHR",Accepted,ILPV-2022-0131,"Verified core event; exact vehicle owner/date from NAD and independent area attack corroboration from PCHR"
OCT22-045,2022-10-27,Haris,"Settlers stone/assault Mufeed Bushnaq and wife Lana",Palestinian,"NAD; PCHR",Accepted,ILPV-2022-0132,"Partially verified: PCHR corroborates road attacks in the area but not the named couple"
OCT22-046,2022-10-28,Jibya,"Settlers attack olive harvesters; Palestinian and foreign solidarity volunteer injured",Israeli/civil-society,"WAFA; ISM; NAD",Accepted,ILPV-2022-0100,"Mixed Palestinian/foreign-solidarity target. WAFA and ISM corroborate the attack; one casualty counted conservatively to avoid double counting overlapping injury descriptions"
OCT22-047,2022-10-28,Qaryut,"Settlers destroy Palestinian irrigation network",Palestinian,"NAD; OCHA aggregate",Accepted,ILPV-2022-0133,"Partially verified exact event; OCHA independently records water-network damage in the period but not this exact Qaryut incident"
OCT22-048,2022-10-29,Al-Taybeh junction,"Settler stone/assault attack; Falah Kahla hospitalized and vehicle damaged; Hassan Ajaj assaulted",Palestinian,"NAD",Accepted,ILPV-2022-0134,"Partially verified: detailed named monitoring; no independent exact source recovered"
OCT22-049,2022-10-29,Za'tara junction,"Settler stones damage vehicle and injure Shaher Shehadeh Saeed",Palestinian,"NAD",Accepted,ILPV-2022-0135,"Partially verified: detailed named monitoring; no independent exact source recovered"
OCT22-050,2022-10-29,Hebron district,"Multi-location wave of settler attacks on residents/homes including Wadi Sa'ir Wadi al-Hussein Old City and other locations",Palestinian,"NAD; OCHA; PCHR",Unresolved,,"Broad wave cannot safely be treated as one incident; overlaps existing Wadi a-Nasara record. The specific 23:00 Wadi al-Hussein gunfire subevent has now been split to ILPV-2022-0153; remaining multi-location attacks still require safe event-level splitting."
OCT22-051,2022-10-30,Al-Lubban ash-Sharqiyah,"Settler stone attack injures Ayed Munir Ahmad al-Deek",Palestinian,"NAD; local reporting",Accepted,ILPV-2022-0136,"Partially verified: core settler attack locally corroborated; named hospitalization comes from NAD/PMG monitoring"
OCT22-052,2022-10-30,Beit Furik checkpoint,"Settler stone/physical attack injures Palestinians and damages vehicles",Palestinian,"WAFA; Safa; NAD; POICA",Accepted,ILPV-2022-0137,"Verified core attack. WAFA/Safa/POICA report at least three injured; NAD names four, so canonical injury count is conservatively three"
OCT22-053,2022-10-30,Za'tara junction,"Settler stone attack injures Ahmed Tabliyeh who is hospitalized",Palestinian,"NAD",Accepted,ILPV-2022-0138,"Partially verified: detailed named monitoring; no independent exact source recovered"
OCT22-054,2022-10-30,Janata,"Settler reportedly fires near/toward Shadi al-Hashlamoun's vehicle",Palestinian,"NAD; derivative monitoring",Accepted,ILPV-2022-0139,"Partially verified threat: no injury/damage; directional wording is conservatively caveated"
OCT22-055,2022-10-31,Tarqumiya/Al-Hardash,"Settlers uproot/cut about 100 olive trees belonging to named Palestinian owners",Palestinian,"WAFA; NAD",Accepted,ILPV-2022-0112,"WAFA and NAD independently identify the date, place, approximate tree count, owners and settler origin"
OCT22-056,2022-10-23,Kfar Saba,"Likud campaign activist Tali Gilboa arrested on suspicion of assaulting and spitting at Yesh Atid activists; both sides allege they were attacked",Israeli/civil-society,"Ynet; News 13; Mako",Accepted,ILPV-2022-0104,"Disputed incident: Likud affiliation is explicit, but direction of the assault is contested and visible in the canonical caveat"
OCT22-057,2022-10-24,Moses Bridge Tel Aviv,"Likud campaign activist attacks Yesh Atid activist Alster Moran after tearing campaign signs; police arrest reported",Israeli/civil-society,"Srugim; IsraelInfo",Accepted,ILPV-2022-0105,"Partially verified; exact article-hosted incident frame recovered; original social/video post remains unresolved"
OCT22-058,2022-10-31,Givat Shmuel,"Two men vandalizing Yesh Atid signs attack activist Gilad Shrem with pepper spray and a box cutter and break his phone",Israeli/civil-society,"Ynet",Accepted,ILPV-2022-0106,"Partially verified; attackers unidentified, so politics remain unclear rather than inferred from sign vandalism; exact incident photo recovered"
OCT22-059,2022-10-21,Sheikh Jarrah,"Settlers harass participants and residents at weekly Sheikh Jarrah protest with racist insults and tear Palestinian flag",Palestinian,"WAFA; Safa; SND; Sawa",Accepted,ILPV-2022-0140,"Partially verified because contemporaneous reports appear to share a local-witness stream; exact incident imagery/article exists but direct original asset not recovered"
OCT22-060,2022-10-21,Sikka/Dura,"Settlers assault olive harvesters; child Ahmad Saeed Abu Eida injured with bruises",Palestinian,"WAFA; Safa; Najah News; local reporting",Accepted,ILPV-2022-0141,"Verified core assault and named child injury; exact media not recovered"
OCT22-061,2022-10-04,Huwwara Secondary School for Boys,"Settlers stone school; principal and two students injured; roughly 250 students forced from classes",Palestinian,"Al-Haq; OCHA",Accepted,ILPV-2022-0142,"Distinct from the same-week Burin school attack; independently documented"
OCT22-062,2022-10-05,Al-Farisiya,"Settlers destroy solar equipment residential tent and water tanks belonging to Raed Muhammad Faris Sobeih",Palestinian,"NAD; Al-Haq",Accepted,ILPV-2022-0143,"Exact owner/date/property damage independently described"
OCT22-063,2022-10-07,Kiryat Arba west,"Settlers cut branches from eight olive trees belonging to Abdul Karim Al-Jabari",Palestinian,"NAD; Al-Haq",Accepted,ILPV-2022-0144,"Independent monitoring agrees on owner location and damage"
OCT22-064,2022-10-08,Bardala,"Settlers destroy large cucumber crop in greenhouses",Palestinian,"NAD; Al-Haq",Accepted,ILPV-2022-0145,"One-day date discrepancy: NAD Oct 8; Al-Haq appears to date same Bardala crop attack Oct 9; retained as Partially verified"
OCT22-065,2022-10-10,Qarawat Bani Hassan,"Havat Ya'er settlers cut and damage five olive trees belonging to Ahmed Mar'i",Palestinian,"POICA; OCHA",Accepted,ILPV-2022-0146,"POICA exact incident plus OCHA locality-level tree-vandalism corroboration; exact POICA incident photos exist but durable direct asset URL remains unresolved"
OCT22-066,2022-10-13,Al-Qanub,"Settlers throw smoke grenades into Palestinian farmland",Palestinian,"B'Tselem",Accepted,ILPV-2022-0147,"Exact B'Tselem incident documentation; independent incident-level corroboration not recovered"
OCT22-067,2022-10-13,Azmut,"Elon Moreh settlers attack Palestinian olive pickers during harvest",Palestinian,"WAFA; NAD; OCHA",Accepted,ILPV-2022-0148,"No injuries reported; independently supported harvest-attack record"
OCT22-068,2022-10-13,Yasuf,"Settlers steal Palestinian olive crop from village agricultural land",Palestinian,"NAD; OCHA",Accepted,ILPV-2022-0149,"Exact monitoring record plus OCHA locality-level crop-theft corroboration"
OCT22-069,2022-10-14,Ya'bad,"Armed settlers drive olive harvesters off land at gunpoint and steal 20 sacks of olives plus equipment",Palestinian,"B'Tselem; OCHA",Accepted,ILPV-2022-0150,"Exact B'Tselem incident plus OCHA harvest-theft corroboration"
OCT22-070,2022-10-15,Yasuf,"Settlers assault olive harvesters and steal four harvest mats",Palestinian,"NAD; OCHA aggregate",Accepted,ILPV-2022-0151,"Exact NAD incident; broader Yasuf harvest violence corroborated but exact event not independently isolated"
OCT22-071,2022-10-13,Road 90 near Bardala,"Settlers burn Mahmoud Tawfiq Sawafta's vegetable stand and damage nearby Palestinian produce stands",Palestinian,"NAD; IMEMC; ARIJ",Accepted,ILPV-2022-0152,"Named burned stand plus independently reported produce-stand attacks near Bardala that night"
OCT22-072,2022-10-13,Huwara,"Nurse Hala Ahmad Halima pepper-sprayed and stoned during same Huwara rampage already represented by ILPV-2022-0090",Palestinian,"IMEMC; NAD; Times of Israel; Local Call",Merged,ILPV-2022-0090,"Additional named subincident/source merged into existing continuous Huwara riot rather than duplicated"
OCT22-073,2022-10-29,Wadi al-Hussein,"Kiryat Arba settlers open fire toward Palestinian homes; no injuries reported",Palestinian,"NAD; Palestine Online",Accepted,ILPV-2022-0153,"Split from broad OCT22-050 Hebron wave; independently corroborated eyewitness gunfire incident"
