candidate_id,date,location,summary,status,incident_id,reason,next_step
AUG22-022,2022-08-19,Al-Masoudia near Burqa,Settlers reportedly attacked Omar Abu Omar's car wash,Unresolved,,NAD explicitly reports an attack but does not specify method damage injury or threat and targeted searches found no fuller incident account,Revisit only if new incident-level evidence appears
AUG22-023,2022-08-19,Al-Khader,55 grape seedlings uprooted and water tank/well damaged,Rejected,,NAD and incident reporting identify Israeli forces as perpetrators rather than settlers/right-wing civilians,Do not include in this right-wing violence dataset
AUG22-024,2022-08-21,Qalqiliya-Nablus main road,Settlers reportedly stoned Palestinian military prosecutor's vehicle,Unresolved,,No distinct retrievable incident source found; same-day Jit vehicle attack exists but differing claimed victim makes forced merge unsafe,Revisit only if original source or exact identifying detail is recovered
AUG22-025,2022-08-23,Jbara checkpoint area,Settler vehicle struck Majd Raafat Ali Zait,Rejected,,Collision/injury is documented but no evidence establishes intentional violence or political motive; settler identity alone is insufficient,Do not include unless motive/intent evidence emerges
AUG22-026,2022-08-24,Kafr Qaddum,Settlers vandalized Palestinian crops,Accepted,ILPV-2022-0022,NAD daily gives exact time/place and settler crop vandalism; independent incident-level source not found,Seek independent corroboration/media
AUG22-027,2022-08-26,Khirbet Yanoun,Settlers reclaimed Palestinian land in attempted seizure,Rejected,,Available record establishes land encroachment/seizure attempt but no completed damage assault or explicit violent threat meeting current threshold,Do not include unless stronger violent conduct evidence emerges
AUG22-028,2022-08-30,Yitzhar junction north of Hawara,Settlers blocked road stoned vehicles and bruised two residents,Accepted,ILPV-2022-0023,NAD provides exact time/location and two named injured Palestinians; distinct from 21:40 Yitzhar-bypass event,Seek independent corroboration/media
AUG22-029,2022-08-30,Burin,Settlers entered farmland and tried to damage greenhouse,Rejected,,Only attempted damage is documented; no completed damage injury or explicit threat established,Do not include unless evidence of completed violent conduct emerges
AUG22-030,2022-08-30,Karnei Shomron entrance/Qalqiliya-Nablus road,Settlers stoned Palestinian vehicles damaging two taxis,Accepted,ILPV-2022-0024,NAD provides exact time/location and material damage to two taxis,Seek independent corroboration/media
AUG22-031,2022-08-16/29,Al Mu'arrajat Centre area,OCHA reports Palestinian man physically assaulted with stones/sticks by a settler,Unresolved,,OCHA verifies the assault in its reporting period but public aggregate reporting does not expose a unique event date victim or record and targeted searches did not resolve it,Retain as unresolved aggregate; do not invent date
AUG22-032,2022-08-16/29,Jit/Turmus'ayya/Ras Karkar/Al Mu'arrajat Centre,OCHA records settler vandalism among roughly 250 Palestinian trees,Unresolved,,OCHA aggregate is verified but partly overlaps accepted Ras Karkar/Turmus'ayya events and remaining component dates cannot be uniquely separated,Retain as unresolved aggregate/deduplication gap
AUG22-033,2022-08-16/29,Sheikh Jarrah/Al Mughayyir/Shi'b al Butum/Marda,OCHA records vehicle/home vandalism and stone damage by settlers,Unresolved,,OCHA aggregate is verified and Marda overlaps an accepted incident but other component events lack unique public dates/details,Retain as unresolved aggregate/deduplication gap
AUG22-034,2022-08-16/29,Ras al Tin/Al Mughayyir/Ein Samiya/Kafr ad Dik,OCHA records damage to crops livestock equipment or water network,Unresolved,,OCHA aggregate is verified but public report lacks event-level dates/details and targeted searches did not uniquely resolve components,Retain as unresolved aggregate; do not invent incidents
AUG22-035,2022-08-26,Dura/Kanar,PCHR reports settlers prevented farmers reaching spring,Merged,ILPV-2022-0009,Same date/location/group and broader Kanar armed incursion already represented,Keep PCHR as additional source if exact overlap confirmed
AUG22-036,2022-08-30,Kisan,NAD reports settlers attacking shepherds south of Kisan,Merged,ILPV-2022-0019,Likely same date/location escalation as armed village raid,Keep as merged unless a clearly separate timeline emerges
AUG22-037,2022-08-28,Route 85 near Karmiel,Jewish driver threatened Arab family with machete,Rejected,,Israeli reporting primarily describes road-rage dispute; no right-wing affiliation or political motive established,Do not include unless new political evidence appears
AUG22-038,2022-08-28,Al-Aqsa Mosque,Settler groups toured/entered mosque compound under police protection,Rejected,,No violent conduct against a target established in this event,Outside current violence threshold
AUG22-039,2022-08-30,Homesh ruins,Settlers entered former settlement site,Rejected,,No violence/harassment target or damage established,Outside scope
AUG22-040,2022-08-30,Kisan,Settler Abu Hanahel toured streets and insulted residents,Rejected,,Verbal abuse alone is too weak/poorly documented as a distinct incident in current record,Do not include unless threats/harassment evidence strengthens
AUG22-041,2022-08-26,Nabi Samuel,Clash in which Palestinian protesters attacked a Jewish counter-protester,Rejected,,Perpetrators are not the Israeli political right,Out of project scope
AUG22-042,2022-08-21,Mahane Yehuda Jerusalem,Several Jewish men beat an Arab man with hands/clubs and damaged restaurant glasses while searching for him,Unresolved,,Times of Israel and video verify the assault but reporting says motive is unclear; possible relationship to ILPV-2022-0014 cannot be established safely,Revisit only if attacker identity/motive or exact deduplication evidence emerges
