candidate_id,date,location,summary,target_priority,source_lanes,status,linked_incident_id,notes
NOV22-012,2022-11-06,Adora / Hebron District,Settlers destroy Palestinian irrigation/property at Ein Fara,Palestinian target,NAD; Palestinian/local,Accepted,ILPV-2022-0180,Canonical row resolved conservatively from monitoring sources.
NOV22-013,2022-11-06,Kafr Qaddum,Settlers cut/damage Palestinian olive trees,Palestinian target,NAD; Palestinian/local,Accepted,ILPV-2022-0181,Canonical row resolved conservatively from monitoring sources.
NOV22-014,2022-11-07,Turmus Ayya,Settlers cut or damage about 116 olive trees,Palestinian target,Palestinian/local monitoring,Accepted,ILPV-2022-0182,Canonical row resolved; damage count retained from incident monitoring.
NOV22-015,2022-11-10,A-Ras / Hebron,Settlers slash tires of three parked Palestinian cars,Palestinian target,B'Tselem,Accepted,ILPV-2022-0183,Exact B'Tselem incident documentation; direct media extraction remains incomplete.
NOV22-016,2022-11-11,Jabal Jales / Hebron,Settlers attack Shaker al-Tamimi family and international harvest volunteers; try to steal crop,Mixed / civil-society,WAFA; B'Tselem,Accepted,ILPV-2022-0174,Minor injuries reported; exact count not asserted.
NOV22-017,2022-11-12,Beit Dajan,Armed settlers hold land surveyor Hamad Abu Jeish and two companions at gunpoint for hours,Palestinian target,WAFA; IMEMC; Ma'an,Accepted,ILPV-2022-0177,Two matching incident-level outlets plus additional local corroboration.
NOV22-018,2022-11-14,Haris,Settlers burn four Palestinian vehicles,Palestinian target,PCHR; Palestinian/local,Accepted,ILPV-2022-0184,Resolved in canonical sheet.
NOV22-019,2022-11-15,Attil,Settlers burn Palestinian vehicle,Palestinian target,PCHR; Palestinian/local,Accepted,ILPV-2022-0185,Resolved in canonical sheet.
NOV22-020,2022-11-15,Hebron area,Settlers detain/harass Palestinian women traveling by bus,Palestinian target,PCHR; NAD/local,Accepted,ILPV-2022-0186,Qualifying targeted intimidation resolved conservatively.
NOV22-021,2022-11-15,Deir Sharaf / Nablus,Settlers assault elderly trucker and burn/damage truck,Palestinian target,B'Tselem; local monitoring,Accepted,ILPV-2022-0187,Canonical incident resolved from detailed field documentation.
NOV22-022,2022-11-15,Ras al-Jorah / Hebron,"Settlers fire in air and stone cars, injuring Palestinian passenger in head",Palestinian target,B'Tselem; local monitoring,Accepted,ILPV-2022-0188,Canonical incident resolved; exact source preserved.
NOV22-023,2022-11-16,Ramin road / Tulkarm,"Settlers stone Palestinian vehicles, damaging several",Palestinian target,PCHR; NAD/local,Accepted,ILPV-2022-0189,Canonical incident resolved.
NOV22-024,2022-11-17,a-Tuwani / Masafer Yatta,Settlers block entrance and chant expulsion/death slogans at residents,Palestinian target,PCHR; Palestinian/local,Accepted,ILPV-2022-0190,Threat/intimidation threshold met; canonical incident resolved.
NOV22-025,2022-11-18,Al-Maleihat / Jordan Valley area,Settler assaults Palestinian child,Palestinian target,PCHR; Palestinian/local,Accepted,ILPV-2022-0191,Canonical incident resolved from incident-level monitoring.
NOV22-026,2022-11-18,Al-Ja'bari / al-Muhawel / Hebron,Dozens of settlers stone family home during wedding meal and vandalize three guest/family cars,Palestinian target,B'Tselem; Palestinian/local,Accepted,ILPV-2022-0192,Detailed incident resolved in canonical sheet.
NOV22-027,2022-11-19,Bab a-Zawiya / a-Shalala / Hebron,Settlers destroy/loot market stalls and attack property during Chayei Sarah procession,Palestinian target,B'Tselem; Israeli broader reporting,Accepted,ILPV-2022-0193,Broad Hebron property-violence event retained conservatively as one unit.
NOV22-028,2022-11-19,Tel Rumeidah / Hebron,Settler-thrown stone injures Bilal a-Sa'id near eye and settlers harass evacuation,Palestinian target,B'Tselem; N12 broader event corroboration,Accepted,ILPV-2022-0175,B'Tselem provides named victim and exact incident documentation.
NOV22-029,2022-11-20,Hebron,Settlers chase/stone Palestinian child,Palestinian target,PCHR; Palestinian/local,Accepted,ILPV-2022-0194,Canonical incident retained with mechanism uncertainty noted.
NOV22-030,2022-11-21,Ramin / Tulkarm,"Settlers slash tires, paint racist graffiti and set olive trees/land on fire",Palestinian target,PCHR; NAD,Accepted,ILPV-2022-0195,Multi-action incident resolved as one event.
NOV22-031,2022-11-23,Khallet Sakariya,Settlers physically assault and injure Palestinian woman,Palestinian target,OCHA,Accepted,ILPV-2022-0196,High-quality UN incident lead resolved; independent exact source remains absent.
NOV22-032,2022-11-23,Burin,"Settlers burn Soufan family car, damage house and attempt house arson",Palestinian target,B'Tselem; WAFA,Accepted,ILPV-2022-0178,Exact family-provided B'Tselem image exists; direct asset URL pending.
NOV22-033,2022-11-24,Huwwara,Settlers stone vehicle and injure Palestinian man,Palestinian target,OCHA; Palestinian/local,Accepted,ILPV-2022-0197,Resolved as injury incident.
NOV22-034,2022-11-24,Yitzhar / Huwwara road,Settlers stone Palestinian vehicles causing damage,Palestinian target,WAFA; PCHR; POICA lead,Accepted,ILPV-2022-0198,Resolved as distinct property-damage road attack; reporting date/location discrepancies noted in canonical sources.
NOV22-035,2022-11-28,Al-Samoud House / Tel Rumeidah,Settlers attack youth anti-settlement community center,Civil-society / Palestinian target,NAD; local monitoring,Accepted,ILPV-2022-0199,High-priority civil-society target retained; exact media not recovered.
NOV22-036,2022-11-28,Jabal Jales / Hebron,Settlers paint Israeli flags on Palestinian homes/vehicles,Palestinian target,NAD; local monitoring,Accepted,ILPV-2022-0200,Intimidation/property vandalism resolved conservatively.
NOV22-037,2022-11-28,Wadi al-Hussein / Hebron,Settler vehicle hits 14-year-old Mustafa Zakaria Jaber,Palestinian target,NAD,Unresolved,,Collision reported but deliberate ramming/political-violence intent not established.
NOV22-038,2022-11-29,Al-Mughayyir,"Settlers attack homes/vehicles, injuring four including 3-year-old child and pregnant woman",Palestinian target,OCHA,Accepted,ILPV-2022-0176,Precise UN incident account; second exact source still absent.
NOV22-039,2022-11-29,Al-Mughayyir,Separate settler attack on farmer/harvest equipment,Palestinian target,Palestinian/local monitoring,Accepted,ILPV-2022-0201,Resolved as separate incident after dedup check against village-wide attack.
NOV22-040,2022-11-29,Jabal Jales / Hebron,Teenage settlers attack elderly farmer; later family is attacked and soldiers join,Palestinian target,B'Tselem; WAFA,Accepted,"ILPV-2022-0214; ILPV-2022-0215",B'Tselem explicitly records two linked incidents. Split into elderly-farmer assault and later family assault; second independently corroborated by WAFA.
NOV22-041,2022-11-30,Kisan,Settlers assault four residents including women,Palestinian target,Palestinian/local monitoring,Accepted,ILPV-2022-0202,Canonical incident resolved.
NOV22-042,2022-11-24,Wadi ad-Delb road / Ramallah area,"Settlers block road and stone Palestinian vehicle, shattering Sameh Erman's windshield",Palestinian target,Palestinian/local monitoring,Accepted,ILPV-2022-0203,Distinct road attack recovered during local-source unitization.
NOV22-043,2022-11-25,Abu Ghosh and Ein Naqquba,Extremists burn five vehicles and spray anti-Arab expulsion graffiti,Israeli/civil-society,Times of Israel; N12; Ynet; police,Accepted,ILPV-2022-0204,Police treated arson as nationalistically motivated; exact Ynet aftermath image recovered and stable preview published.
NOV22-044,2022-11-20,"Tikotin Museum / Beit HaGefen event, Haifa",Right-wing activists organize disruption and intimidate attendees at Beit HaGefen Palestinian-culture event,Israeli/civil-society,Haipo; ACRI; exact YouTube,Accepted,ILPV-2022-0205,Exact video shows Shai Glick disrupting hall and denouncing attendees. Later physical-assault allegation not independently verified.
NOV22-045,2022-11-08,Qaryut,Settlers steal olives and cut down at least four olive trees,Palestinian target,B'Tselem; OCHA,Accepted,ILPV-2022-0206,"Exact B'Tselem photo exists; OCHA likely same event but reports nine trees, so canonical count remains conservative."
NOV22-046,2022-11-05,Haris western entrance,Settlers throw stones at passing Palestinian vehicles,Palestinian target,PCHR,Accepted,ILPV-2022-0207,Incident-level monitoring; no damage/injury independently established.
NOV22-047,2022-11-09,South of Yatta,Settlers vandalize irrigation water tanks serving Palestinian olive grove,Palestinian target,PCHR,Accepted,ILPV-2022-0208,Incident-level monitoring; exact independent match not recovered.
NOV22-048,2022-11-16,Near Jit,Settlers damage Palestinian doctor's vehicle,Palestinian target,PCHR,Accepted,ILPV-2022-0209,Incident-level monitoring; exact independent match not recovered.
NOV22-049,2022-11-17,Road 55 between Nablus and Qalqiliya,Settlers stone Palestinian vehicles,Palestinian target,PCHR,Accepted,ILPV-2022-0210,Incident-level monitoring; no damage/injury asserted beyond source.
NOV22-050,2022-11-18,Kafl Haris entrance,Settlers stone Palestinian vehicles,Palestinian target,PCHR,Accepted,ILPV-2022-0211,Incident-level monitoring; no damage/injury asserted beyond source.
NOV22-051,2022-11-19,Northern Qalqiliya,Settlers stone Palestinian vehicles,Palestinian target,PCHR,Accepted,ILPV-2022-0212,Incident-level monitoring; exact road/outcome not specified.
NOV22-052,2022-11-24,Yitzhar bypass / Huwwara area,PCHR reports settler stone attack on Palestinian vehicles,Palestinian target,PCHR,Merged,ILPV-2022-0198,Matched existing Nov. 24 Yitzhar/Huwwara road vehicle-damage incident; added as corroborating source rather than duplicate.
NOV22-053,2022-11-29,Road 90 northeast of Ramallah / near Al-Mughayyir,"Settlers stone vehicles, injuring Imran Muhammad Nassar in eye and damaging two vehicles",Palestinian target,PCHR; WAFA,Accepted,ILPV-2022-0213,Independent incident-level corroboration; one injury and two damaged vehicles.
NOV22-054,2022-11-15,"Farsh al-Hawa Road, west of Hebron","Settlers block road and stone Palestinian vehicles, damaging several",Palestinian target,WAFA,Accepted,ILPV-2022-0216,Contemporaneous exact local report.
NOV22-055,2022-11-15,Entrance to Sa'ir,"Settlers stone Palestinian vehicles, damaging several",Palestinian target,WAFA,Accepted,ILPV-2022-0217,Contemporaneous exact local report.
NOV22-056,2022-11-15,Entrance to Ar-Rashaida,Settlers stone Palestinian vehicles and smash windows,Palestinian target,WAFA,Accepted,ILPV-2022-0218,Arabic incident report plus matching English multi-location report; no injuries reported.
NOV22-057,2022-11-15,Entrance to Yasuf,Settlers stone Palestinian vehicles and damage windows,Palestinian target,WAFA,Accepted,ILPV-2022-0219,Arabic incident report plus matching English multi-location report; no injuries reported.
NOV22-058,2022-11-15,Urif,"Yitzhar settlers stone Palestinian homes and a parked vehicle, breaking windows",Palestinian target,WAFA,Accepted,ILPV-2022-0220,Contemporaneous incident-specific local report.
NOV22-059,2022-11-15,Haris western entrance,"Settlers stone Palestinian vehicles, damaging several",Palestinian target,WAFA,Accepted,ILPV-2022-0221,Distinct from the Nov. 5 Haris attack.
NOV22-060,2022-11-15,Huwwara-Qalqiliya road near Burin,"Settlers stone Palestinian vehicles, damaging several",Palestinian target,WAFA,Accepted,ILPV-2022-0222,Contemporaneous incident-specific local report.
NOV22-061,2022-11-08–2022-11-21,Al-Mughayyir,OCHA records 170 Palestinian olive saplings stolen during reporting period without an event-level date,Palestinian target,OCHA,Unresolved,,"High-reliability aggregate record, but no exact event date/source was recovered; not safe to create a distinct incident row."
NOV22-062,2022-11-08–2022-11-21,Mantiqat Shi'b al Butum,OCHA records about 100 Palestinian olive trees vandalized during reporting period without an event-level date,Palestinian target,OCHA,Unresolved,,"High-reliability aggregate record, but exact event date/detail not recovered; not safe to create a distinct incident row."
NOV22-063,2022-11-08–2022-11-21,Multiple West Bank locations,"OCHA aggregates seven additional settler property attacks involving structures, water tanks, livestock and fences",Palestinian target,OCHA,Unresolved,,Aggregate source spans multiple locations/incidents and cannot be safely split without duplicate/unitization risk.
NOV22-064,2022-11-08–2022-11-21,Multiple West Bank roads,OCHA aggregates 16 settler stone-throwing attacks damaging Palestinian vehicles; several are matched to exact rows but residual events cannot be safely assigned,Palestinian target,OCHA; PCHR; WAFA,Unresolved,,Several subevents were resolved via exact PCHR/WAFA reports; residual aggregate count remains unresolved to avoid duplicates or invented dates.
