candidate_id,period,status,warning_source,recipient,warning_summary,evidence_state,gaps
GALLANT-MAR25-2023,2023-03-25,Strong candidate,Yoav Gallant / Defense Minister,Benjamin Netanyahu / government,"Public and private warning of a clear, immediate and tangible danger to state security and military readiness from the internal crisis and reserve-service disruption.","Contemporaneous public speech and multiple reports of private briefings exist.","Separate public professional warning from political dispute; recover exact private warning/meeting record and documented government response."
EXSEC-JUL22-2023-LETTER,2023-07-22,Investigating / exclusion-boundary check,Dozens of former IDF / Mossad / Shin Bet / police chiefs and senior security officials,Benjamin Netanyahu,"Direct letter warning that the government was causing serious harm to the IDF and Israel's security; signatories said they felt as if Israel were on the eve of the Yom Kippur War and were raising a bright-red stop sign.","Contemporaneous Times of Israel, Jerusalem Post and Israeli TV reporting reproduce the warning and direct Netanyahu addressee; coalition response was reported.","Some signatories were also former opposition political figures, including Ehud Barak and Moshe Ya'alon. Determine organizational origin and whether a clearly separable professional-security warning survives the user's exclusion of warnings originating from political rivals before acceptance."
EILAND-AUG23-2023,2023-08-16,Accepted,Maj. Gen. (res.) Giora Eiland / former NSC head and professional security expert,Benjamin Netanyahu,"Direct strategic warning that Iran had matured a coordinated multi-front campaign involving Hezbollah and Hamas; Eiland says he explicitly named Hamas among forces that might storm Israel and described an existential danger.","N12 reported Eiland's Civil Commission testimony in detail; Davar separately quotes Eiland dating the one-on-one meeting to Aug. 16, 2023; later reporting repeats the same sequence. Netanyahu reportedly asked Eiland to pursue/write internal-compromise proposals. Published to Notion as WARN-6 / Medium confidence.","Evidence is retrospective and no contemporaneous meeting minutes/calendar record or written security warning was recovered. No public evidence of an operational readiness action specifically tied to the warning. Treat as multi-front strategic warning, not a date/tactical prediction of Oct. 7."
OCT1-ASSESSMENT-2023,2023-10-01,Accepted / disputed,Ronen Bar and other senior security chiefs,Benjamin Netanyahu / security meeting,"Bar reportedly warned Hamas was preparing something extreme/an 'earthquake' and recommended targeting Sinwar; PMO gives a materially contrary account of Bar's assessment and recommendation.","Published to Notion as WARN-68 / Medium confidence. N12 reporting based on Shin Bet reviews/senior testimony and a 2026 security source support the warning/recommendation; the PMO disputes it and says Bar favored de-escalation while Netanyahu raised targeted action.","No public minutes/recording. Preserve the direct conflict; do not present the warning as a precise prediction of the Oct. 7 invasion or the alleged rejection as settled fact."
BAR-AUG06-JEWISH-TERROR-TRAINING-CONTEXT,2023-08,Context attached to accepted warning,Ronen Bar / Shin Bet + IDF readiness reporting,Benjamin Netanyahu,"Contemporaneous warning on Palestinian escalation was accompanied in Ynet by reporting that heavy West Bank deployment was reducing regular ground-force training and was critical for the next war.","Ynet documented the warning and readiness context in the same Aug. 6 report.","Do not attribute the training statistic itself to Bar unless a primary briefing record shows he presented it; preserve it as contextual readiness evidence."
SEED-BORDER-OBSERVERS-2023,2023,Investigating,IDF border observers / professional military personnel,IDF chain / government receipt unestablished,"Repeated observations concerning unusual Hamas training, hostage-taking drills, border activity and vulnerability before Oct. 7.","Substantial retrospective reporting and some contemporaneous communications are reported.","Trace each distinct warning through command chain and establish whether any reached government-level recipients; do not label internal warnings as government warnings without evidence."
SEED-UNIT8200-2023,2023,Investigating,Unit 8200 / intelligence personnel,Intelligence chain / government receipt unestablished,"Analyst warning(s) that Hamas exercises/plans resembled an invasion scenario.","Major retrospective evidence lane with reported contemporaneous communications.","Recover communications and escalation path; establish whether warning reached senior state or political recipients."
SEED-JERICHO-WALL-2023,2021..2023,Disputed / investigating,Israeli intelligence / military,Senior security decision-makers; government receipt disputed,"Intelligence concerning Hamas's invasion plan often described as the Jericho Wall plan.","Existence of a detailed Hamas plan is well documented; public accounts conflict over when its operational form was known and whether/when it reached Netanyahu or current government officials.","Reconcile primary chronology and PMO denial/limiting account before any government-receipt finding."
SAAR-OCT6-UNSENT-2023,2023-10-06,Internal warning only,Brig. Gen. Amit Saar / IDF Military Intelligence Research Division,IDF intelligence chief and chief of staff; intended for PM/cabinet,"Urgent warning drafted immediately before Oct. 7 about an opportunity perceived by Iran, Hezbollah and Hamas and potential attack/escalation.","Saar later said the warning reached the IDF intelligence chief and chief of staff and was approved for transmission, but the attack occurred before it was sent to Netanyahu/cabinet.","Do not count as a government warning; seek contemporaneous draft/document for internal-warning evidence."
SEED-EGYPT-2023,2023,Split into distinct disputed candidates,Egyptian intelligence/government,Israeli government / recipient varies,"Umbrella seed for reported Egyptian warnings before Oct. 7; now split into distinct recipient/date claims below.","AP-era reporting and Michael McCaul's post-briefing statement support that some warning was given to Israelis, while direct-Netanyahu, NSC and Foreign Ministry versions remain separately disputed.","Do not merge different dates/recipient claims; recover Egyptian or Israeli primary records and authoritative inquiry findings."
EGYPT-OCT4-2023-ISRAELI-OFFICIALS,2023-10-04,Strong candidate / recipient level unresolved,Egyptian government/intelligence,Israeli officials; exact level unresolved,"Warning approximately three days before Oct. 7 that an event like the coming attack could occur / that a major escalation was imminent.","US House Foreign Affairs chair Michael McCaul said after a closed intelligence briefing that Egypt warned the Israelis three days prior and that a warning was given, while explicitly saying the recipient level was unclear. Earlier AP reporting cited an Egyptian intelligence official saying repeated warnings of something big were underestimated.","Need primary US briefing record or Egyptian/Israeli documentation identifying recipient and exact content. Netanyahu and Egyptian-linked media denied a direct warning to him; do not treat this as Netanyahu receipt."
EGYPT-KAMEL-NETANYAHU-LATESEP-2023,2023-09-27,Disputed / investigating,Abbas Kamel / Egyptian General Intelligence,Benjamin Netanyahu,"Ynet-reported claim that Kamel warned Netanyahu roughly 10 days before Oct. 7 that Gaza actors were preparing something unusual / a terrible operation.","The claim was reported immediately after the attack and remains referenced in later reporting; Netanyahu/PMO categorically denied receiving such a warning/call.","Need Egyptian primary confirmation, call metadata, transcript, or authoritative inquiry finding before acceptance."
EGYPT-FOREIGNMIN-NSC-MIDSEP-2023,2023-09,Disputed / investigating,Egyptian delegation / senior Egyptian sources,Israeli Foreign Ministry and National Security Council,"Later reporting says Egyptian officials warned that Gaza was explosive and could blow up, and separately conveyed a focused warning to the NSC that something big was coming.","A December 2025 Israel Hayom investigation cites a senior Egyptian source, several Israeli Foreign Ministry sources and two Israeli political sources. The Foreign Ministry formally denied that the described meeting/information occurred; the NSC said it had no information about a general Foreign Ministry warning and no concrete warning about Oct. 7 or likelihood of war.","Need documentary/meeting records, named witnesses or authoritative inquiry evidence. Keep separate from the Oct. 4 and Kamel-Netanyahu claims."
SEED-UAE-2023,2023-09-27,Disputed,UAE President Mohammed bin Zayed Al Nahyan,Benjamin Netanyahu,"Reported direct warning roughly 10 days before Oct. 7 that Yahya Sinwar was preparing a major operation / that a violent Palestinian explosion was possible.","Notion WARN-5 is now Disputed / Medium. Supporting investigative sourcing and reported MBZ retrospective statements conflict with Netanyahu/PMO's categorical denial and claimed call-log review, plus a 19 Sep 2026 UAE official-source statement that security details are handled through relevant entities rather than at national-leader level.","No public call transcript/log, official inquiry finding or contemporaneous UAE record resolves the contradiction. Do not treat Netanyahu receipt through an MBZ leader-to-leader call as established."
UAE-INTERMEDIARY-SHINBET-MIDSEP-2023,2023-09,Resolved as corroborating chain / dedupe,Fatah intermediary Sufian Abu Zaida plus UAE/Egyptian-linked intermediary channels,Shin Bet / Israeli security officials,"Sinwar's mid-September 'earthquake'/major-surprise warning was relayed through intermediary channels to Shin Bet and then entered the Bar/Netanyahu warning sequence.","Named-intermediary reporting and Abu Zaida's later public self-identification strengthen the upstream provenance. The downstream 15-17 Sep warning and government-receipt sequence is represented in WARN-15; related foreign-channel claims remain separately tracked where provenance/recipient differs.","Do not create a duplicate unless a distinct foreign-government warning event, date, source and recipient is independently established."
OLDER-INHERITED-WARNINGS,pre-2022-12-29,Discovery active,Multiple professional/official sources,Current officeholders where repeated/inherited knowledge is documented,"Older warning chains relevant to Hamas invasion concepts, border vulnerability, deterrence and preparedness.","Older lane remains concurrent rather than deferred.","Search without fixed historical floor, but only attach to current government where receipt/repetition/inherited documented knowledge is evidenced."
